;url;price;surface;nb_pieces;nb_chambres;lieu;prix_m2;date_publication;tag_1;tag_2;tag_3;description;tags;images_url
44;https://www.superimmo.com/annonces/achat-maison-113m-la-petite-pierre-67290-xwcjxk;280800;113;5;3;La Petite-Pierre (67290);2485;19/07/2024;Exclusivité;1 balcon (5 m²);Honoraires à la charge de l'acquéreur : 4% TTC - 10 800 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/capest/honoraires;"Dans la jolie Commune de LA PETITE PIERRE, dans un quartier résidentiel et calme, venez découvrir cette MAISON EN BOIS MASSIF, de 113m2 habitables ( et 120m2 au sol), en EXCELLENT ETAT et sans travaux!
Construite en 2009, judicieusement aménagée et facile à vivre, elle ne nécessite aucun travaux!
Au sous-sol, bien aménagé
- un garage avec porte motorisé, pour une voiture,
- un cellier;
- une lingerie avec la partie technique ( PAC);
Au 1er niveau:
- une entrée carrelée,
- un salon-séjour de 30m2 avec accès vers la terrasse,
- une cuisine équipée, avec son accès vers la terrasse,
- une chambre/ bureau;
- une salle d'eau ( douche) avec wc et radiateur sèche serviette;
Au 2ème niveau:
-une mezzanine lumineuse avec son balcon
- 2 chambres spacieuses,
- 1 salle de bains avec wc.
Le chauffage est assurée par un PAC ( Pompe à Chaleur AIR/EAU), installée en 2015 et un poêle à bois dans séjour.
La Maison est équipée d'un plancher chauffant et isophonique et à l'étage, on y trouve des radiateurs.
Il y a un récupérateur d'eau pour une utilisation domestique.
A l'Extérieur: le jardin est entièrement clôt et possède des arbres fruitiers et une terrasse ombragée.
On y trouve également un appentis pour le rangement des outils de jardin.
Portail d'accès motorisé et maison raccordée à la fibre, pour plus de confort!
Une jolie maison, parfaitement entretenue et qui saura ravir les amoureux des chalets en bois!
La commune, de près de 630 habitants offre de nombreux services : école élémentaire, médecin, pharmacie, boulangerie, centre sportif et se situe à 20mn de la gare de TIEFFENBACH, qui mène Strasbourg en 45 mn par le train, mais également Haguenau en 47mn et Saverne en 24mn en voiture.
Un renseignement, une visite?
Contactez moi pour connaitre les détails de cette jolie exclusivité!
+ de 30 photos sur le site internet de l'agence
Vous pouvez dès à présent prendre RDV sur le site internet de l'agence, afin de réserver votre créneau de visite.
Honoraires inclus de 4% TTC à la charge de l'acquéreur. Prix hors honoraires 270 000 €. Classe énergie B, Classe climat A Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 810.00 et 1160.00 €. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Afficher plus";"['113 m² - 5 pièces - 3 chambres - ter. 1 234 m²', 'Vue dégagée', '1 garage - 2 parkings', 'Cave', '1 balcon (5 m²)', '1 terrasse', 'Année de construction : 2009', 'Cuisine équipée', 'Séjour de 34 m²', ""1 salle d'eau - 1 salle de bain"", '2 wc', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/59oe3ttda5zq7ztc69oi3alsywcr', 'https://photo.superimmo.com/fd32op6vcof8xy1tnrb4m2yxculg', 'https://photo.superimmo.com/yhk26tgprg2v2l1p5xz00f7h6nru', 'https://photo.superimmo.com/elvycelcpk9gylrkdr44ruq0azxz', 'https://photo.superimmo.com/qg9oysduurbecwzgth70clmriz3b', None, None, None, None, None]
45;https://www.superimmo.com/annonces/achat-appartement-94m-haguenau-67500-xwcjww;229500;94;3;2;Haguenau (67500);2441;19/07/2024;Exclusivité;Étage 3/5 avec ascenseur;Honoraires à la charge de l'acquéreur : 4,32% TTC - 9 500 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/axcess/157/pFLa5/honoraires_agence_2024.pdf;"Appartement T3/4 à Haguenau : Un havre de paix en plein coeur de ville
Découvrez ce charmant et spacieux appartement 3/4pièces de 94m², niché au 3ème étage d'une résidence de 5 étages avec ascenseur, dans le centre de Haguenau.
Construit en 1971 et rénové avec goût, cet appartement vous offre un séjour spacieux de 31 m² avec accès sur un balcon de 3m², deux chambres, une salle d'eau et un WC séparé.
Bénéficiez d'une cuisine équipée indépendante pour des moments de convivialité et profitez également de sa loggia qui vous offre un espace de rangement supplémentaire.
Cet appartement est équipé d'une porte blindée, de fenêtres à double vitrage en PVC et dispose d'un chauffage collectif au gaz.
Une cave et un stationnement extérieur complètent ce bien.
Charges de copropriété: 920€ par trimestre (chauffage, eau froide et chaude, l'entretien et l'électricité des parties communes, l'assurance de l'immeuble, les ordures ménagères, les frais de syndic...)
Situé en plein centre-ville, à proximité de toutes les commodités, vous trouverez une crèche, une maternelle, une école élémentaire et deux collèges à moins de 10 minutes à pied. Les amateurs de bonne cuisine seront ravis de découvrir les nombreux restaurants tout proches. Pour vos courses du quotidien, 3 commerces d'alimentation générale sont accessibles en 5 minutes à pied. De plus, un hôpital et 9 médecins généralistes sont à moins de 10 minutes en voiture ou à pied.
Cet appartement est éligible à l'internet haut débit et à la fibre pour vous permettre de rester connecté.
Venez découvrir ce bien qui vous offrira un cadre de vie agréable en plein coeur de Haguenau.
HAGUENAU.
Honoraires inclus de 4.32% TTC à la charge de l'acquéreur. Prix hors honoraires 220 000 €. Dans une copropriété de 81 lots. Quote-part moyenne du budget prévisionnel 3 680 €/an. Aucune procédure n'est en cours. Classe énergie D, Classe climat D Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2020 : entre 1433.00 et 1939.00 €. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Afficher plus";"['94 m² - 3 pièces - 2 chambres', 'Étage 3/5 avec ascenseur', '1 Parking', 'Cave', '1 balcon (3 m²)', 'Année de construction : 1971', 'Chauffage collectif au gaz', 'Cuisine séparée, équipée', 'Séjour de 31 m²', ""1 salle d'eau"", 'Wc séparé - 1 wc', 'Copropriété de 81 lots', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/628z9ref74sc2gz6w8tpoyweybh5', 'https://photo.superimmo.com/cvc3vhnkhiydoyfp843268k1jrkc', 'https://photo.superimmo.com/zfceg528e7iu13xf44r9r44t3sjw', 'https://photo.superimmo.com/uaels1658tm27xvh0iqb9gz3yfwy', 'https://photo.superimmo.com/o76mkkvl1xduo72vludnze20nqyu', None, None, None, None, None]
46;https://www.superimmo.com/annonces/achat-maison-108m-mittelschaeffolsheim-67170-xwcjw7;385000;108;6;4;Mittelschaeffolsheim (67170);3565;19/07/2024;Exclusivité;2 terrasses;Honoraires à la charge de l'acquéreur : 2,67% TTC - 10 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/axcess/157/pFLa5/honoraires_agence_2024.pdf;"Découvrez votre coup de coeur à Mittelschaeffolsheim!
Située dans le charmant village de Mittelschaeffolsheim, cette maison individuelle de 2021 vous attend pour écrire votre nouvelle histoire.
Avec ses 108 m² habitables, elle vous offre un séjour spacieux de 43 m², idéal pour des moments conviviaux en famille ou entre amis.
La cuisine américaine aménagée et équipée est un véritable atout.
Les 4 chambres dont une chambre parentale avec dressing sont idéales pour une grande famille. Vous apprécierez également la salle de bain et les 2 WC, gage de confort au quotidien.
Les ouvertures en PVC double vitrage assurent une isolation optimale couplées à un chauffage au sol par pompe à chaleur sur les 2 niveaux de la maison.
Cette demeure se prolonge à l'extérieur par une terrasse de 15 m² avec pergola, permettant de profiter des belles journées d'été, le tout édifié sur un terrain de 376 m².
Côté pratique, un stationnement intérieur et 3 places extérieures sont disponibles.
Prestations: volets motorisés et moustiquaires sur toutes les fenêtres, placard, espace buanderie dans le garage, cuisine Schmidt avec îlot central, cabanon de jardin...
Proche de toutes commodités, vous trouverez à 5 min en voiture 2 maternelles, 2 écoles élémentaires, 2 médecins généralistes et 9 restaurants. À 10 min, 2 collèges, 12 commerces d'alimentation générale, 1 parc et jardin, 1 hôpital et plusieurs autres commodités s'offrent à vous.
MITTELSCHAFFOLSHEIM, proximité Berstett, Eckwersheim, Vendenheim.
Honoraires inclus de 2.67% TTC à la charge de l'acquéreur. Prix hors honoraires 375 000 €. Classe énergie B, Classe climat A. Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2015 : 467.94 €. Date de réalisation du DPE : 06-04-2021. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Afficher plus";['108 m² - 6 pièces - 4 chambres - ter. 376 m²', '1 garage - 3 parkings', '2 terrasses', 'Année de construction : 2021', 'Cuisine ouverte, équipée', 'Séjour de 43 m²', '1 salle de bain', '2 wc', None, None, None, None, None, None, None, None, None, None, None, None];['https://photo.superimmo.com/8kzcgl3fqgl1spml7l588sm1qgll', 'https://photo.superimmo.com/xz5r8t1fznfg4nsx7q86gmqud6gr', 'https://photo.superimmo.com/xj38qgia55vjffayugm0v3j6is84', 'https://photo.superimmo.com/g97uco6f65dfwi3w9l2fa3drm7qk', 'https://photo.superimmo.com/lnxujkarik57wtdee2f7am3mmfyj', None, None, None, None, None]
47;https://www.superimmo.com/annonces/achat-maison-125m-strasbourg-67100-xwcjw0;477000;125;6;4;Strasbourg (67100);3816;19/07/2024;Exclusivité;2 balcons;Honoraires à la charge du vendeur. Barème d’honoraires : https://files.netty.immo/file/asi67/1694/30yb3/tarifs_asi_2024.pdf;"Maison Bourgeoise de Charme à Strasbourg Meinau - Gros Potentiel
Découvrez cette magnifique maison bourgeoise de 125 m², nichée au coeur de Strasbourg Meinau, elle vous attend pour écrire votre prochaine histoire de vie.
Construite en 1932, cette demeure de caractère se compose de deux niveaux et offre un double séjour de 35m² exposé Sud-Est, cinq pièces, dont quatre chambres spacieuses. Une cuisine séparé, une salle d'eau, et un WC indépendant complètent ce tableau. Profitez également d'un stationnement intérieur, de deux balcons et d'un jardin verdoyant de 350 m².
Gros travaux à prévoir, cette maison au standing élevé est une véritable invitation à laisser parler votre créativité et votre goût pour les belles choses.
Exposition traversante, vous bénéficierez d'une lumière naturelle abondante tout au long de la journée. Une grande cave et un garage en sous-sol viennent compléter les atouts de cette propriété.
Située à proximité immédiate des commodités, vous trouverez à 5 minutes à pied : 4 arrêts de bus, 1 crèche, 1 maternelle, 1 alimentation générale et 5 restaurants. À 10 minutes à pied : 1 école élémentaire, 1 parc et jardin. À 15 minutes à pied : 4 arrêts de tramway, 1 collège. Enfin, à 10 minutes en voiture, vous accéderez à 1 hôpital et à 4 médecins généralistes.
Laissez-vous séduire par le charme et le potentiel de cette maison bourgeoise, et contactez-nous dès maintenant pour organiser une visite.
CONTACT/ Madame AVILES Axelle - 07.87.71.62.44 ou
Honoraires à la charge du vendeur. Classe énergie E, Classe climat E Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 3336.00 et 4514.00 €. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Afficher plus";"['125 m² - 6 pièces - 4 chambres - ter. 415 m²', 'Travaux à prevoir', 'Orientation : Est, Sud, Sud-Est', 'Vue dégagée', '1 Garage', 'Cave', '2 balcons', 'Année de construction : 1932', 'Chauffage individuel au gaz', 'Cuisine séparée, équipée', ""1 salle d'eau"", 'Wc séparé - 1 wc', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/451gw0ub44fu0ey99u6ner4i3d37', 'https://photo.superimmo.com/b7q25n2o5vaulbc36xx6muye41rn', 'https://photo.superimmo.com/jovinlw1axxt30ryr6i3bfc0ktwx', 'https://photo.superimmo.com/egh6kvt1wjmaqeximbdjia60mvb3', 'https://photo.superimmo.com/aax4frgb2lto287xqrssuwvvvb4t', None, None, None, None, None]
48;https://www.superimmo.com/annonces/achat-appartement-118m-strasbourg-67000-xwcjvy;269952;118;5;4;Strasbourg (67000);2288;19/07/2024;Exclusivité;Meublé;Honoraires à la charge du vendeur. Barème d’honoraires : https://files.netty.immo/file/asi67/1694/30yb3/tarifs_asi_2024.pdf;"STRASBOURG
RUE DE RIMBACH
C'EST EN EXCLUSIVITE QUE NOUS VOUS PROPOSONS DANS UNE RESIDENCE CONTEMPORAINE CET EXCEPTIONNEL 5 PIECES EN TRIPLEX DE 118M² (163 M² AU SOL) EN 4EME ET DERNIER ETAGE.
IL EST COMPOSE D'UNE ENTREE, D'UN SEJOUR, 4 CHAMBRES, UNE CUISINE AMENAGEE, UNE SALLE DE BAINS AVEC WC, UNE SALLE DE DOUCHE AVEC WC, UN GRENIER AMENAGE
SOLS CARRELES ET PARQUET
CHAUFFAGE INDIVIDUEL ELECTRIQUE ET CLIMATISATION
CAVE EN SOUS-SOL
ASCENSEUR
4 CHAMBRES SONT LOUEES EN COLOCATION 1860€ / MOIS
CONTACT/
LAURENT NICOLIN 06 PUIS 80 PUIS 99 PUIS 02 PUIS 11
OU
Honoraires à la charge du vendeur. Dans une copropriété de 48 lots. Quote-part moyenne du budget prévisionnel 2 547 €/an. Aucune procédure n'est en cours. Classe énergie C, Classe climat A Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1133.00 et 1533.00 €. Nos honoraires :
Afficher plus";"['118 m² - 5 pièces - 4 chambres', 'Dernier étage (4ème) avec ascenseur', 'Orientation : Est / Ouest', 'Vue dégagée', 'Cave', '1 balcon (3 m²)', 'Année de construction : 1990', 'Chauffage individuel électrique', 'Cuisine séparée, équipée', 'Séjour de 24 m²', ""1 salle d'eau - 1 salle de bain"", '2 wc', 'Copropriété de 48 lots', '', None, None, None, None, None, None]";['https://photo.superimmo.com/bai6n0oikqphi6qv9n3mlljgrxsi', 'https://photo.superimmo.com/ljjnybziun9wxqccz7773q3ufq0r', 'https://photo.superimmo.com/uuzw4o80a4ud1fiskoupsl404hj0', 'https://photo.superimmo.com/ulpmpsyiacf1ojjtjl8bdkvg3hcm', 'https://photo.superimmo.com/5nmenrbpejqvelfy4voqc0gkols9', None, None, None, None, None]
49;https://www.superimmo.com/annonces/achat-appartement-83m-strasbourg-67000-xwcjvx;201836;83;3;2;Strasbourg (67000);2432;19/07/2024;Exclusivité;1 Garage;Honoraires à la charge du vendeur. Barème d’honoraires : https://files.netty.immo/file/asi67/1694/30yb3/tarifs_asi_2024.pdf;"STRASBOURG
RUE PROSPER MERIMEE
DANS UNE PETITE RESIDENCE DE STANDING DE 1992 ENTOURÉE DE VERDURE NOUS VOUS PROPOSONS EN EXCLUSIVITÉ CE JOLI 3 PIECES DE 82 M2 AVEC TERRASSE 15M2 EN REZ DE JARDIN EXPOSÉ OUEST. IL EST COMPOSÉ D' UNE ENTRÉE, D' UNE CUISINE AMENAGEE, D' UN SÉJOUR OUVRANT SUR LA TERRASSE, DE 2 CHAMBRES SANS VIS À VIS, D' UNE SALLE DE BAINS, D' UN WC SÉPARE .
CAVE ET GARAGE EN SOUS-SOL
CHAUFFAGE INDIVIDUEL
LOUE 1061€ / MOIS DEPUIS 09/2017
IDEAL INVESTISSEUR !
CONTACT/
LAURENT NICOLIN 06 PUIS 80 PUIS 99 PUIS 02 PUIS 11
OU
Honoraires à la charge du vendeur. Dans une copropriété de 13 lots. Quote-part moyenne du budget prévisionnel 2 128 €/an. Aucune procédure n'est en cours. Classe énergie E, Classe climat B Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1.00 et 1.00 €. Nos honoraires :
Afficher plus";['83 m² - 3 pièces - 2 chambres', 'Rez-de-chaussée', 'Orientation : Est / Ouest', 'Vue dégagée', '1 Garage', 'Cave', 'Année de construction : 1992', 'Chauffage individuel électrique', 'Cuisine séparée, équipée', 'Séjour de 27 m²', '1 salle de bain', 'Wc séparé - 1 wc', 'Copropriété de 13 lots', '', None, None, None, None, None, None];['https://photo.superimmo.com/lotzibi2ql247oamwll1nh83hzle', 'https://photo.superimmo.com/jzewsh9crl3c9iuceht82uz66r6l', 'https://photo.superimmo.com/d7ahr6ywz7o6inidso3q84rjhvaz', 'https://photo.superimmo.com/7b1c1sn3j006nm9c621ayp5zfolh', 'https://photo.superimmo.com/s4k702bocz68aqs80bkb25b7s1f5', None, None, None, None, None]
50;https://www.superimmo.com/annonces/achat-appartement-83m-strasbourg-67100-xwcjvw;201836;83;3;2;Strasbourg (67100);2432;19/07/2024;Exclusivité;1 Garage;Honoraires à la charge du vendeur. Barème d’honoraires : https://files.netty.immo/file/asi67/1694/30yb3/tarifs_asi_2024.pdf;"STRASBOURG
RUE PROSPER MERIMEE
DANS UNE PETITE RESIDENCE DE STANDING DE 1992 ENTOURÉE DE VERDURE NOUS VOUS PROPOSONS EN EXCLUSIVITÉ CE JOLI 3 PIECES DE 82 M2 AVEC TERRASSE 15M2 EN REZ DE JARDIN EXPOSÉ OUEST. IL EST COMPOSÉ D' UNE ENTRÉE, D' UNE CUISINE AMENAGEE, D' UN SÉJOUR OUVRANT SUR LA TERRASSE, DE 2 CHAMBRES SANS VIS À VIS, D' UNE SALLE DE BAINS, D' UN WC SÉPARE .
CAVE ET GARAGE EN SOUS-SOL
CHAUFFAGE INDIVIDUEL
LOUE 1061€ / MOIS DEPUIS 09/2017
IDEAL INVESTISSEUR !
CONTACT/
LAURENT NICOLIN 06 PUIS 80 PUIS 99 PUIS 02 PUIS 11
OU
Honoraires à la charge du vendeur. Dans une copropriété de 13 lots. Quote-part moyenne du budget prévisionnel 2 128 €/an. Aucune procédure n'est en cours. Classe énergie E, Classe climat B Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1.00 et 1.00 €. Nos honoraires :
Afficher plus";['83 m² - 3 pièces - 2 chambres', 'Rez-de-chaussée', 'Orientation : Est / Ouest', 'Vue dégagée', '1 Garage', 'Cave', 'Année de construction : 1992', 'Chauffage individuel électrique', 'Cuisine séparée, équipée', 'Séjour de 27 m²', '1 salle de bain', 'Wc séparé - 1 wc', 'Copropriété de 13 lots', '', None, None, None, None, None, None];['https://photo.superimmo.com/jzewsh9crl3c9iuceht82uz66r6l', 'https://photo.superimmo.com/lotzibi2ql247oamwll1nh83hzle', 'https://photo.superimmo.com/d7ahr6ywz7o6inidso3q84rjhvaz', 'https://photo.superimmo.com/7b1c1sn3j006nm9c621ayp5zfolh', 'https://photo.superimmo.com/s4k702bocz68aqs80bkb25b7s1f5', None, None, None, None, None]
51;https://www.superimmo.com/annonces/achat-appartement-95m-illkirch-graffenstaden-67400-xwcjvv;304913;95;4;3;Illkirch-Graffenstaden (67400);3210;19/07/2024;Exclusivité;Étage 2/5 avec ascenseur;Honoraires à la charge du vendeur. Barème d’honoraires : https://files.netty.immo/file/asi67/1694/30yb3/tarifs_asi_2024.pdf;"ILLKIRCH GRAFFENSTADEN
RUE VINCENT SCOTTO
TRAM LIXENBUHL SUR PLACE
DANS UNE RESIDENCE COMTEMPORAINE BIEN TENUE ET ARBOREE, NOUS VOUS PROPOSONS EN EXCLUSVITE CE BEAU 4 PIECES EN ETAGE DE 95,3M² AVEC TERRASSE OUEST 9M². IL COMPREND UNE ENTREE AVEC PLACARD, UNE CUISINE EQUIPEE OUVRANT SUR TERRASSE, UN SEJOUR OUVRANT SUR TERRASSE, UNE SALLE A MANGER OU 3EME CHAMBRE, 2 CHAMBRES, UNE SALLE DE DOUCHE AVEC FENETRE, WC SEPARE.
SOLS EN PARQUET ET CARRELAGE
FENETRES PVC DOUBLE VITRAGE
CHAUFFAGE COLLECTIF
ASCENSEUR
CAVE ET GARAGE FERME
CONTACT/
LAURENT NICOLIN 06 PUIS 80 PUIS 99 PUIS 02 PUIS 11
OU
Honoraires à la charge du vendeur. Dans une copropriété de 74 lots. Quote-part moyenne du budget prévisionnel 2 820 €/an. Aucune procédure n'est en cours. Classe énergie C, Classe climat C Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 560.00 et 790.00 €. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Afficher plus";"['95 m² - 4 pièces - 3 chambres', 'Étage 2/5 avec ascenseur', 'Orientation : Est / Ouest', 'Vue dégagée', '1 Parking', 'Cave', '1 terrasse', 'Année de construction : 1978', 'Chauffage collectif au gaz', 'Cuisine séparée, équipée', 'Séjour de 24 m²', ""1 salle d'eau"", 'Wc séparé - 1 wc', 'Interphone', 'Copropriété de 74 lots', '', None, None, None, None]";['https://photo.superimmo.com/dkf4cpf7lgxe5zxs7fk7kqs81ang', 'https://photo.superimmo.com/y3ncp5x4oluaf0k7agvlgmadtsew', 'https://photo.superimmo.com/5lrz6wadj5boexje95ueqwbxncw3', 'https://photo.superimmo.com/khl1euw5af2076vlmed7had934zy', 'https://photo.superimmo.com/1usldy0degvi9g31uth08jdhrj3e', None, None, None, None, None]
52;https://www.superimmo.com/annonces/achat-appartement-68m-geispolsheim-67118-xwcjvu;283962;68;3;2;Geispolsheim (67118);4176;19/07/2024;Exclusivité;Dernier étage;Honoraires à la charge du vendeur. Barème d’honoraires : https://files.netty.immo/file/asi67/1694/30yb3/tarifs_asi_2024.pdf;"GEISPOLSHEIM
AVENUE DU SCHLOSSGARTEN
C'EST EN EXCLUSIVITE QUE NOUS VOUS PROPOSONS CE MAGNIFIQUE 3 PIECES 68M² ( 75M² AU SOL) ATTIQUE EN DERNIER ETAGE AVEC TERRASSE DANS UNE PETITE RESIDENCE DE STANDING DE 2014 ENTIEREMENT CLOTUREE ET SECURISEE.
L'APPARTEMENT OFFRE UNE VUE DEGAGEE SUR LA NATURE SANS AUCUN VIS A VIS
IL EST COMPOSE D'UNE ENTREE AVEC PLACARD, D'UN AGREABLE SEJOUR DE 34M² OUVRANT SUR LA TERRASSE DE 25M² SUD/OUEST, D'UNE CUISINE AMERICAINE EQUIPEE, DEUX BELLES CHAMBRES SANS VIS À VIS, D'UNE SALLE DE BAINS, D'UN WC SEPARE AVEC LAVE-MAINS.
CHAUFFAGE COLLECTIF
PARKING PRIVATIF ET GARAGE FERME
DISPONIBLE DE SUITE
CONTACT/
LAURENT NICOLIN 06 PUIS 80 PUIS 99 PUIS 02 PUIS 11
OU
Honoraires à la charge du vendeur. Dans une copropriété de 60 lots. Quote-part moyenne du budget prévisionnel 3 078 €/an. Aucune procédure n'est en cours. Classe énergie C, Classe climat C Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 328.00 et 444.00 €. Nos honoraires :
Afficher plus";['68 m² - 3 pièces - 2 chambres', 'Dernier étage (2ème)', 'Orientation : Est, Ouest, Sud, Sud-Ouest', 'Vue dégagée', '2 Parkings', '1 terrasse', 'Année de construction : 2014', 'Chauffage collectif au gaz', 'Cuisine ouverte, équipée', 'Séjour de 39 m²', '1 salle de bain', 'Wc séparé - 1 wc', 'Copropriété de 60 lots', '', None, None, None, None, None, None];['https://photo.superimmo.com/trk7c086lp69nc70uoxfxtb7ogkm', 'https://photo.superimmo.com/axg49271r1biv1fdr7gid3tz39a7', 'https://photo.superimmo.com/ljj2f0ms3utxzyprxbailpm4fal6', 'https://photo.superimmo.com/s6vplqyg24k3vsbaz5uk2zw6dd32', 'https://photo.superimmo.com/8wvyn5u2w8hj9fc1r5u98faezui0', None, None, None, None, None]
53;https://www.superimmo.com/annonces/achat-maison-104m-barr-67140-xwcjvr;212000;104;4;3;Barr (67140);2038;19/07/2024;Exclusivité;1 terrasse;Honoraires à la charge de l'acquéreur : 6% TTC - 12 000 € TTC inclus dans le prix de vente. Barème d’honoraires : https://files.netty.immo/file/vignoble/3482/VkNDF/honoraires_agence_29062004_1.docx;"SOUS-OFFRE AVEC L'ALSACIENNE IMMOBILIER
À COEUR DE RÉUSSIR VOTRE PROJET !
A BARR, sur les hauteurs à deux pas de toutes commodités, l'Alsacienne Immobilier vous propose en exclusivité cette jolie maison 1900 pleine de charme !
Composée de 4 pièces sur deux niveaux ce bien offre également dépendance avec garage, cave et jardin.
D'une surface habitable d'environ 104m² sur plus de 4 ares, ce bien vous séduira par sa luminosité, son jardin bucolique et son potentiel avec sa dépendance à repenser.
Au rez de chaussée une entrée lumineuse vous mènera à :
Une entrée
Un séjour avec cheminée et parquet
Une cuisine
Une première pièce avec point d'eau
Un toilette avec lave mains
Un cellier
A l'étage le pallier donne accès à :2 grandes et belles pièces avec parquet massif
Une salle d'eau avec toilettes
Un accès au grenier
Au sous-sol :
Un beau caveau avec dalle de grès.
A l'extérieur, la cour accessible en voiture donne accès à la dépendance attenante à la maison.
Celle-ci abrite au rdc un garage, un espace buanderie avec accès jardin et un atelier; à l'étage un espace de stockage et ce qui fut une cuisine d'été avec un accès directe au jardin.
Le jardin caché et situé en positon dominante du fait de la colline, offre de très belles vues sur le vignoble avoisinant.
Cette maison a toujours été entretenue et a été rénovée dans les années 90; elle est saine, possède un chauffa central gaz et des fenêtres double vitrage, mais elle a besoin d'une remise aux gout du jour.
Je suis à votre disposition pour de plus amples informations ou pour une visite :
Anne BOSSERT 0682380983
Agence du Vignoble 0388080350.
Je suis à votre disposition pour vous accompagner dans votre projet!
Tous nos biens sur
Classe énergie E, Classe climat D Montant moyen estimé des dépenses annuelles d'énergie pour un usage standard, établi à partir des prix de l'énergie de l'année 2021 : entre 1895.00 et 2563.00 €. Nos honoraires : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : georisques.gouv.fr
Retrouvez l'annonce de l'agence immobilière Alsacienne Immobilier Barr sur :
Afficher plus";"['104 m² - 4 pièces - 3 chambres - ter. 4 m²', 'Travaux à prevoir', '1 garage - 1 parking', 'Cave', '1 terrasse', 'Année de construction : 1930', 'Chauffage individuel au gaz', 'Cuisine séparée, équipée', ""1 salle d'eau"", '2 wc', 'Cheminée', '', None, None, None, None, None, None, None, None]";['https://photo.superimmo.com/vrugvuar4m1x5wx5ruo6eti58k67', 'https://photo.superimmo.com/dznxrhsck0kvivtpzwlo1jbr5rz7', 'https://photo.superimmo.com/elgnhpzmj4xj2nor80hc2d9tmrw7', 'https://photo.superimmo.com/uiqlpdddpwssvmwa1xyb19tiol7s', 'https://photo.superimmo.com/cp4w6giz9t4rf2x8oqe63aw4fqk8', None, None, None, None, None]
